Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,33.655mm,55.3085mm,33.655mm,55.3085mm,32.63mm,55.3085mm,B,0,22pF
C11,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,59.341mm,87.5665mm,59.341mm,87.5665mm,58.316mm,87.5665mm,B,0,1uF
C12,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,59.341mm,84.6455mm,59.341mm,84.6455mm,58.316mm,84.6455mm,B,0,1uF
C2,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,33.655mm,46.4185mm,33.655mm,46.4185mm,32.63mm,46.4185mm,B,0,22pF
C3,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,43.18mm,54.0385mm,43.18mm,54.0385mm,44.205mm,54.0385mm,B,180,1uF
C4,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,20.32mm,59.7535mm,20.32mm,59.7535mm,21.345mm,59.7535mm,B,180,100nF
C5,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,20.32mm,41.9735mm,20.32mm,41.9735mm,19.295mm,41.9735mm,B,0,100nF
C6,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,11.43mm,53.4035mm,11.43mm,53.4035mm,11.43mm,54.4285mm,B,270,100nF
C7,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,11.43mm,48.3235mm,11.43mm,48.3235mm,11.43mm,49.3485mm,B,270,10uF
D1,D3_SMD_Front,10.922mm,71.1835mm,10.922mm,71.1835mm,9.147mm,71.1835mm,B,0,D
D11,D3_SMD_Front,10.922mm,68.8975mm,10.922mm,68.8975mm,9.147mm,68.8975mm,B,0,D
D12,D3_SMD_Front,29.718mm,68.8975mm,29.718mm,68.8975mm,27.943mm,68.8975mm,B,0,D
D13,D3_SMD_Front,49.022mm,68.8975mm,49.022mm,68.8975mm,47.247mm,68.8975mm,B,0,D
D14,D3_SMD_Front,68.072mm,68.8975mm,68.072mm,68.8975mm,66.297mm,68.8975mm,B,0,D
D2,D3_SMD_Front,29.718mm,71.1835mm,29.718mm,71.1835mm,27.943mm,71.1835mm,B,0,D
D21,D3_SMD_Front,10.668mm,33.0835mm,10.668mm,33.0835mm,8.893mm,33.0835mm,B,0,D
D22,D3_SMD_Front,29.972mm,33.0835mm,29.972mm,33.0835mm,28.197mm,33.0835mm,B,0,D
D23,D3_SMD_Front,48.768mm,33.0835mm,48.768mm,33.0835mm,46.993mm,33.0835mm,B,0,D
D24,D3_SMD_Front,68.072mm,33.0835mm,68.072mm,33.0835mm,66.297mm,33.0835mm,B,0,D
D3,D3_SMD_Front,49.022mm,71.1835mm,49.022mm,71.1835mm,47.247mm,71.1835mm,B,0,D
D31,D3_SMD_Front,10.668mm,30.7975mm,10.668mm,30.7975mm,8.893mm,30.7975mm,B,0,D
D32,D3_SMD_Front,29.972mm,30.7975mm,29.972mm,30.7975mm,28.197mm,30.7975mm,B,0,D
D33,D3_SMD_Front,48.768mm,30.7975mm,48.768mm,30.7975mm,46.993mm,30.7975mm,B,0,D
D34,D3_SMD_Front,68.072mm,30.7975mm,68.072mm,30.7975mm,66.297mm,30.7975mm,B,0,D
D4,D3_SMD_Front,68.072mm,71.1835mm,68.072mm,71.1835mm,66.297mm,71.1835mm,B,0,D
D6,SOT-143,25.57mm,86.4235mm,25.57mm,86.4235mm,24.8mm,87.5235mm,B,270,PRTR5V0U2X
F1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,30.48mm,86.4235mm,30.48mm,86.4235mm,30.48mm,87.911mm,B,270,MF-NSMF050-2
IC2,SOT95P280X130-3N,52.197mm,86.3283mm,52.197mm,86.3283mm,53.597mm,87.2783mm,B,180,XC6206P332MR
R1,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3.81mm,85.1535mm,3.81mm,85.1535mm,3.81mm,86.1785mm,B,270,5.1K
R11,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,23.749mm,7.6835mm,23.749mm,7.6835mm,24.774mm,7.6835mm,B,180,1.5K
R12,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,23.749mm,11.4935mm,23.749mm,11.4935mm,24.774mm,11.4935mm,B,180,1.5K
R13,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,23.749mm,15.3035mm,23.749mm,15.3035mm,24.774mm,15.3035mm,B,180,1.5K
R2,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,7.62mm,85.1535mm,7.62mm,85.1535mm,7.62mm,86.1785mm,B,270,5.1K
R3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,11.43mm,85.1535mm,11.43mm,85.1535mm,11.43mm,86.1785mm,B,270,22
R4,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,15.24mm,85.1535mm,15.24mm,85.1535mm,15.24mm,86.1785mm,B,270,22
R5,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,43.18mm,50.8635mm,43.18mm,50.8635mm,42.155mm,50.8635mm,B,0,10K
R6,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,43.18mm,47.6885mm,43.18mm,47.6885mm,44.205mm,47.6885mm,B,180,1K
RESET1,SW_SPST_CK_RS282G05A3,20.32mm,69.9135mm,20.32mm,69.9135mm,16.42mm,69.9135mm,B,0,SW_SPST
U1,TQFP-44_10x10mm_P0.8mm,20.32mm,50.8635mm,20.32mm,50.8635mm,16.32mm,56.5635mm,B,270,ATmega32U4-AU
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,33.655mm,50.8635mm,33.655mm,50.8635mm,32.505mm,49.4135mm,B,90,Crystal_GND24
nrf1,E73-nrf51822-Module,30.48mm,8.9535mm,30.48mm,8.9535mm,46.228mm,2.0955mm,B,90,E73-nrf51822
Through Hole Items 
ConnFemale_Underglow1,PinHeader_1x03_P2.54mm_Vertical,6.35mm,3.2385mm,6.35mm,3.2385mm,6.35mm,3.2385mm,T,90,Conn_01x03_Female
K1,Kailh_socket,10.795mm,79.5973mm,10.795mm,79.5973mm,4.505mm,74.5173mm,T,180,KEYSW-redox_rev1-rescue
K11,Kailh_socket,10.795mm,60.5473mm,10.795mm,60.5473mm,17.085mm,65.6273mm,T,0,KEYSW-redox_rev1-rescue
K12,Kailh_socket,29.845mm,60.5473mm,29.845mm,60.5473mm,36.135mm,65.6273mm,T,0,KEYSW-redox_rev1-rescue
K13,Kailh_socket,48.895mm,60.5473mm,48.895mm,60.5473mm,55.185mm,65.6273mm,T,0,KEYSW-redox_rev1-rescue
K14,Kailh_socket,67.945mm,60.5473mm,67.945mm,60.5473mm,74.235mm,65.6273mm,T,0,KEYSW-redox_rev1-rescue
K2,Kailh_socket,29.845mm,79.5973mm,29.845mm,79.5973mm,23.555mm,74.5173mm,T,180,KEYSW-redox_rev1-rescue
K21,Kailh_socket,10.795mm,41.4975mm,10.795mm,41.4975mm,4.505mm,36.4175mm,T,180,KEYSW-redox_rev1-rescue
K22,Kailh_socket,29.845mm,41.4975mm,29.845mm,41.4975mm,23.555mm,36.4175mm,T,180,KEYSW-redox_rev1-rescue
K23,Kailh_socket,48.895mm,41.4975mm,48.895mm,41.4975mm,42.605mm,36.4175mm,T,180,KEYSW-redox_rev1-rescue
K24,Kailh_socket,67.945mm,41.4975mm,67.945mm,41.4975mm,61.655mm,36.4175mm,T,180,KEYSW-redox_rev1-rescue
K3,Kailh_socket,48.895mm,79.5973mm,48.895mm,79.5973mm,42.605mm,74.5173mm,T,180,KEYSW-redox_rev1-rescue
K31,Kailh_socket,10.795mm,22.4475mm,10.795mm,22.4475mm,17.085mm,27.5275mm,T,0,KEYSW-redox_rev1-rescue
K32,Kailh_socket,29.845mm,22.4475mm,29.845mm,22.4475mm,36.135mm,27.5275mm,T,0,KEYSW-redox_rev1-rescue
K33,Kailh_socket,48.895mm,22.4475mm,48.895mm,22.4475mm,55.185mm,27.5275mm,T,0,KEYSW-redox_rev1-rescue
K34,Kailh_socket,67.945mm,22.4475mm,67.945mm,22.4475mm,74.235mm,27.5275mm,T,0,KEYSW-redox_rev1-rescue
K4,Kailh_socket,67.945mm,79.5973mm,67.945mm,79.5973mm,61.655mm,74.5173mm,T,180,KEYSW-redox_rev1-rescue
PROGR_HEADER1,PinHeader_1x04_P2.54mm_Vertical,26.035mm,3.2385mm,26.035mm,3.2385mm,26.035mm,3.2385mm,T,270,Conn_01x04_Female
PROGR_HEADER2,PinHeader_1x04_P2.54mm_Vertical,1.905mm,54.6735mm,1.905mm,54.6735mm,1.905mm,54.6735mm,T,0,Conn_01x04_Female
USB1,HRO-TYPE-C-31-M-12-HandSoldering,39.37mm,91.5035mm,39.37mm,91.5035mm,36.145mm,83.3085mm,B,0,HRO-TYPE-C-31-M-12
