Source:,F:\msys64\home\f14eagle\gitrepo\redox-keyboard-f14\redox-f14\pcb\wingxx_receiver_kicad_files_v2\wingxx-receiver.sch,,,,,,,,,,,,,,
Date:,2020/1/7 21:45,,,,,,,,,,,,,,
Tool:,Eeschema (5.1.2)-2,,,,,,,,,,,,,,
Generator:,F:\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,
Component Count:,78,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Category,DK_Datasheet_Link,DK_Detail_Page,Description,Digi-Key_PN,Family,MPN,Manufacturer,Status
,,C1,22pF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,C2,22pF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,C3,1uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,C4,100nF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,C5,100nF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,C6,100nF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,C7,10uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,C11,10uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,C12,10uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,ConnFemale_Underglow1,Conn_01x03_Female,Connector:Conn_01x03_Female,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,,,,,,,,,
,,D1,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D2,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D3,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D4,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D5,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D6,PRTR5V0U2X,Power_Protection:PRTR5V0U2X,Package_TO_SOT_SMD:SOT-143,https://assets.nexperia.com/documents/data-sheet/PRTR5V0U2X.pdf,,,,,,,,,
,,D11,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D12,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D13,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D14,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D15,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
