Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.338mm,16.891mm,37.338mm,16.891mm,38.363mm,16.891mm,T,180,22pF
C11,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,11.938mm,22.098mm,11.938mm,22.098mm,12.963mm,22.098mm,T,180,1uF
C12,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,11.938mm,19.558mm,11.938mm,19.558mm,12.963mm,19.558mm,T,180,1uF
C2,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.338mm,27.686mm,37.338mm,27.686mm,36.313mm,27.686mm,T,0,22pF
C3,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,39.243mm,36.068mm,39.243mm,36.068mm,39.243mm,35.043mm,T,90,1uF
C4,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,12.446mm,36.068mm,12.446mm,36.068mm,12.446mm,37.093mm,T,270,100nF
C5,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,14.732mm,36.068mm,14.732mm,36.068mm,14.732mm,37.093mm,T,270,100nF
C6,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,10.16mm,36.068mm,10.16mm,36.068mm,10.16mm,37.093mm,T,270,100nF
C7,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,7.874mm,36.068mm,7.874mm,36.068mm,7.874mm,37.093mm,T,270,10uF
D6,SOT-143,37.983mm,31.2284mm,37.983mm,31.2284mm,36.883mm,31.9984mm,T,0,PRTR5V0U2X
F1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,11.938mm,15.113mm,11.938mm,15.113mm,13.4255mm,15.113mm,T,180,MF-NSMF050-2
IC2,SOT95P280X130-3N,11.938mm,27.178mm,11.938mm,27.178mm,13.338mm,26.228mm,T,180,XC6206P332MR
R1,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,34.163mm,36.068mm,34.163mm,36.068mm,34.163mm,37.093mm,T,270,5.1K
R11,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,46.736mm,36.068mm,46.736mm,36.068mm,46.736mm,37.093mm,T,270,1.5K
R12,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,46.746mm,31.3554mm,46.746mm,31.3554mm,46.746mm,30.3304mm,T,90,1.5K
R13,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,41.656mm,36.068mm,41.656mm,36.068mm,41.656mm,37.093mm,T,270,1.5K
R2,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,34.173mm,31.2284mm,34.173mm,31.2284mm,34.173mm,30.2034mm,T,90,5.1K
R3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,41.666mm,31.2284mm,41.666mm,31.2284mm,41.666mm,30.2034mm,T,90,22
R4,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,44.206mm,31.3554mm,44.206mm,31.3554mm,44.206mm,32.3804mm,T,270,22
R5,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,44.196mm,36.068mm,44.196mm,36.068mm,44.196mm,35.043mm,T,90,10K
R6,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,36.703mm,36.068mm,36.703mm,36.068mm,36.703mm,37.093mm,T,270,1K
RESET1,SW_SPST_CK_RS282G05A3,33.487mm,8.463mm,33.487mm,8.463mm,29.587mm,8.463mm,T,0,SW_SPST
U1,TQFP-44_10x10mm_P0.8mm,25.918mm,22.211mm,25.918mm,22.211mm,21.918mm,16.511mm,T,90,ATmega32U4-AU
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,37.348mm,22.211mm,37.348mm,22.211mm,36.198mm,23.661mm,T,270,Crystal_GND24
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,10.043mm,35.5464mm,10.043mm,35.5464mm,12.493mm,37.1464mm,B,180,WS2812B
D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,39.243mm,35.433mm,39.243mm,35.433mm,41.693mm,37.033mm,B,180,WS2812B
D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,39.888mm,9.511mm,39.888mm,9.511mm,42.338mm,11.111mm,B,180,WS2812B
D4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,11.948mm,8.876mm,11.948mm,8.876mm,14.398mm,10.476mm,B,180,WS2812B
nrf1,E73-nrf51822-Module,29.093mm,24.1164mm,29.093mm,24.1164mm,13.345mm,30.9744mm,B,270,E73-nrf51822
Through Hole Items 
PROGR_HEADER1,PinHeader_1x04_P2.54mm_Vertical,28.448mm,38.608mm,28.448mm,38.608mm,28.448mm,38.608mm,T,270,Conn_01x04_Female
USB1,HRO-TYPE-C-31-M-12-HandSoldering,55.128mm,17.766mm,55.128mm,17.766mm,46.933mm,20.991mm,B,270,HRO-TYPE-C-31-M-12
